Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1934,3,25,1934-3-25,"197 Institution Ave., Newton Centre, Massachusetts",United States,Armen Carapetyan,W. E. Hocking,[Name spelled Carapetian] Carapetyan asks a question about a paper for his philosophy course.,"Harvard University, Houghton Library","William Ernest Hocking Correspondence, MS Am 2375, Carton 5, 980",
1934,4,8,1934-4-8,"197 Institution Ave., Newton Centre, Massachusetts",United States,Armen Carapetyan,W. E. Hocking,[Name spelled Carapetian] Carapetyan asks a question about a paper for his philosophy course.,"Harvard University, Houghton Library","William Ernest Hocking Correspondence, MS Am 2375, Carton 5, 980",
1940,10,17,1940-10-17,"Harvard University, Cambridge, Massachusetts",United States,Harold Spivacke,Armen Carapetyan,"Spivacke responds that the Library of Congress does not possess copies of Adrianus Petit Coclico's ""Compendium musices"" or ""Musica reservata.""",Library of Congress,"Music Division Old Correspondence Collection, Folder Carapetyan, Armen",
1944,11,11,1944-11-11,"R.D. Maynard, Massachusetts",United States,Armen Carapetyan,Otto Kinkeldey,"""An Institute of Renaissance and Baroque Music is being organized in Cambridge to issue a Quarterly, print music, reproduce important works, record music, etc. Would you assist by allowing to be put down as one of the advisiory editors, or as a member of the advisory board?""; ""I am writing you by the encouragement of [Willi] Apel and [Archibald T.] Davison.""","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,2,5,1945-2-5,"R.D., Maynard, Massachusetts",United States,Otto Kinkeldey,Armen Carapetyan,"""There was so little information about the purpose and the form of your journal and about the group who might be interested in it, that I was in doubt as to what to do about it. I asked Dr. [Archibald T.] Davison about it and he has written to me twice."" He agrees to join the advisory board.","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,3,1,1945-3-1,"Maynard R.D., Massachusetts",United States,Armen Carapetyan,Otto Kinkeldey,"Carapetyan thanks Kinkeldey for joining the Advisory Board. He notes that ""the following are on the Advisory Board: [Willi] Apel, [Manfred] Bukofzer, [Archibald T.] Davison, [Alfred] Einstein, [Charles Warren] Fox, [Donald J.] Grout, [Helen] Hewitt, [Paul Henry] Lang, [Gustave] Reese, [Curt] Sachs, [Leo] Schrade and [Oliver] Strunk.""","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,4,7,1945-4-7,"1430 Massachusetts Avenue, Cambridge",United States,Armen Carapetyan,Otto Kinkeldey,Carapetyan encloses AIM's first prospectus.,"Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,5,4,1945-5-4,"1430 Massachusetts Avenue, Cambridge",United States,Armen Carapetyan,Otto Gombosi,Carapetyan is interested in Gombosi's article on fifteenth-century French dance.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1945,6,16,1945-6-16,"1430 Massachusetts Avenue, Cambridge",United States,Armen Carapetyan,Otto Kinkeldey,"""A few days ago I was in New Haven and had a long discussion with [Leo] Schrade who has been very interested in this project. He has set aside his own intentions for a periodical and would like to join forces with me in the editorial work. Discussing this matter with Dr. [Archibald T.] Davison, we both felt that there should be another associate editor representing native forces. We thought [Donald J.] Grout or [Leonard] Ellinwood or some other young American historian would round off the team well."" Carapetyan asks for a contribution from Kinkeldey.","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,7,26,1945-7-26,"Institute of Renaissance and Baroque Music
1430 Massachusetts Avenue, Cambridge",United States,Otto Kinkeldey,Armen Carapetyan,"""I really have nothing new to say and if I wrote an article for your Quarterly, it would be largely a repitition of what I have said in the past. I feel that I would like to give you something more original. If a short and not very original essay would help you, I should be glad to submit something.""","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1945,8,2,1945-8-2,"Institute of Renaissance and Baroque Music
1430 Massachusetts Avenue, Cambridge",United States,Armen Carapetyan,Otto Kinkeldey,"""One of the chief aims of the Institute will be the propogation of the history of music in a broader cultural setting and its place in a university education… Dr. [Leo] Schrade in particular feels very eager for your support in a group of essays in the first issue which are avowedly meant to serve a propagandist purpose.""","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
